location,name,freq,weighting,n_factors,date,ret
usa,accruals,monthly,vw_cap,6,1962-06-30,0.01915553920614691
usa,accruals,monthly,vw_cap,6,1962-07-31,-0.0046690426772628
usa,accruals,monthly,vw_cap,6,1962-08-31,-0.007399381620196319
usa,accruals,monthly,vw_cap,6,1962-09-30,0.006944155065666326
usa,accruals,monthly,vw_cap,6,1962-10-31,0.008284933652372388
usa,accruals,monthly,vw_cap,6,1962-11-30,-0.003701910356297494
usa,accruals,monthly,vw_cap,6,1962-12-31,0.001584674854418454
usa,accruals,monthly,vw_cap,6,1963-01-31,0.0010511968764785838
usa,accruals,monthly,vw_cap,6,1963-02-28,0.00881772530038684
usa,accruals,monthly,vw_cap,6,1963-03-31,0.00281263081918141
usa,accruals,monthly,vw_cap,6,1963-04-30,0.01516404064721784
usa,accruals,monthly,vw_cap,6,1963-05-31,0.006383312109333815
usa,accruals,monthly,vw_cap,6,1963-06-30,-0.0016989487099778558
usa,accruals,monthly,vw_cap,6,1963-07-31,-0.0009340101603779906
usa,accruals,monthly,vw_cap,6,1963-08-31,0.0004706252996393434
usa,accruals,monthly,vw_cap,6,1963-09-30,0.001929273474069123
usa,accruals,monthly,vw_cap,6,1963-10-31,0.015566380402707298
usa,accruals,monthly,vw_cap,6,1963-11-30,-0.007967385421654958
usa,accruals,monthly,vw_cap,6,1963-12-31,0.01838490690664414
usa,accruals,monthly,vw_cap,6,1964-01-31,0.009102568005436545
usa,accruals,monthly,vw_cap,6,1964-02-29,0.009229222869462376
usa,accruals,monthly,vw_cap,6,1964-03-31,0.014342958991195346
usa,accruals,monthly,vw_cap,6,1964-04-30,-0.009529197969709904
usa,accruals,monthly,vw_cap,6,1964-05-31,-0.0005004837507509583
usa,accruals,monthly,vw_cap,6,1964-06-30,-0.0034030114112840715
usa,accruals,monthly,vw_cap,6,1964-07-31,0.003187951066093963
usa,accruals,monthly,vw_cap,6,1964-08-31,0.0006489506578502361
usa,accruals,monthly,vw_cap,6,1964-09-30,0.003946628376254095
usa,accruals,monthly,vw_cap,6,1964-10-31,0.004588040418741712
usa,accruals,monthly,vw_cap,6,1964-11-30,-0.0012631447043103775
usa,accruals,monthly,vw_cap,6,1964-12-31,-0.01143305936579229
usa,accruals,monthly,vw_cap,6,1965-01-31,-0.004194204104468399
usa,accruals,monthly,vw_cap,6,1965-02-28,0.0010084082665054804
usa,accruals,monthly,vw_cap,6,1965-03-31,0.0024786192052195346
usa,accruals,monthly,vw_cap,6,1965-04-30,-0.010633276627744959
usa,accruals,monthly,vw_cap,6,1965-05-31,0.005637325369157222
usa,accruals,monthly,vw_cap,6,1965-06-30,0.0027039807682575656
usa,accruals,monthly,vw_cap,6,1965-07-31,0.009051673024785135
